;;;;;;;;;;;;Variables WORLD CLIM;;;;;;;;;;;;;;;;;;
code;base;gbifID;year;dateIdentified;espece;country;lon;lat;posi;studied;altitude;bio_1;bio_2;bio_3;bio_4;bio_5;bio_6;bio_7;bio_8;bio_9;bio_10;bio_11;bio_12;bio_13;bio_14;bio_15;bio_16;bio_17;bio_18;bio_19
bdd2173;cl1712;6005;NA;20100314;Convolvulus lanuginosus;France;5,73752;43,14584;p;n;88;145;83;35;5389;273;38;235;117;216;216;79;658;87;11;40;248;71;71;199
bdd2143;cl1686;6005;NA;20101209;Convolvulus lanuginosus;France;5,7345;43,14543;p;n;88;145;83;35;5389;273;38;235;117;216;216;79;658;87;11;40;248;71;71;199
bdd2431;cl1945;6005;NA;20100000;Convolvulus lanuginosus;France;5,72217;43,14543;p;n;51;147;83;35;5380;275;39;236;118;217;217;80;651;86;11;40;245;71;71;197
bdd2244;cl1777;6005;NA;20100314;Convolvulus lanuginosus;France;5,73431;43,14542;p;n;88;145;83;35;5389;273;38;235;117;216;216;79;658;87;11;40;248;71;71;199
bdd2609;cl2104;6005;NA;20070629;Convolvulus lanuginosus;France;5,73442;43,14533;p;n;88;145;83;35;5389;273;38;235;117;216;216;79;658;87;11;40;248;71;71;199
bdd2668;cl2158;6005;NA;20070629;Convolvulus lanuginosus;France;5,73097;43,14523;p;n;78;145;83;35;5424;274;38;236;117;216;216;79;655;87;11;40;247;71;71;199
bdd2432;cl1946;6005;NA;20100000;Convolvulus lanuginosus;France;5,72262;43,14507;p;n;51;147;83;35;5380;275;39;236;118;217;217;80;651;86;11;40;245;71;71;197
bdd2753;cl2234;6005;NA;20070629;Convolvulus lanuginosus;France;5,73551;43,14503;p;n;88;145;83;35;5389;273;38;235;117;216;216;79;658;87;11;40;248;71;71;199
bdd2433;cl1947;6005;NA;20100000;Convolvulus lanuginosus;France;5,72246;43,14495;p;n;51;147;83;35;5380;275;39;236;118;217;217;80;651;86;11;40;245;71;71;197
bdd2167;cl1707;6005;NA;20100314;Convolvulus lanuginosus;France;5,73575;43,14492;p;n;88;145;83;35;5389;273;38;235;117;216;216;79;658;87;11;40;248;71;71;199
bdd2168;cl1708;6005;NA;20100314;Convolvulus lanuginosus;France;5,73624;43,14485;p;n;88;145;83;35;5389;273;38;235;117;216;216;79;658;87;11;40;248;71;71;199
bdd2434;cl1948;6005;NA;20100000;Convolvulus lanuginosus;France;5,7226;43,14477;p;n;51;147;83;35;5380;275;39;236;118;217;217;80;651;86;11;40;245;71;71;197
bdd2640;cl2132;6005;NA;20070629;Convolvulus lanuginosus;France;5,73611;43,14475;p;n;88;145;83;35;5389;273;38;235;117;216;216;79;658;87;11;40;248;71;71;199
bdd2709;cl2195;6005;NA;20070629;Convolvulus lanuginosus;France;5,73343;43,1447;p;n;88;145;83;35;5389;273;38;235;117;216;216;79;658;87;11;40;248;71;71;199
bdd2242;cl1775;6005;NA;20100314;Convolvulus lanuginosus;France;5,73289;43,14464;p;n;78;145;83;35;5424;274;38;236;117;216;216;79;655;87;11;40;247;71;71;199
bdd2680;cl2169;6005;NA;20070629;Convolvulus lanuginosus;France;5,73438;43,14461;p;n;88;145;83;35;5389;273;38;235;117;216;216;79;658;87;11;40;248;71;71;199
bdd2435;cl1949;6005;NA;20100000;Convolvulus lanuginosus;France;5,72232;43,1446;p;n;51;147;83;35;5380;275;39;236;118;217;217;80;651;86;11;40;245;71;71;197
bdd2745;cl2227;6005;NA;20070629;Convolvulus lanuginosus;France;5,73094;43,14451;p;n;78;145;83;35;5424;274;38;236;117;216;216;79;655;87;11;40;247;71;71;199
bdd2437;cl1950;6005;NA;20100000;Convolvulus lanuginosus;France;5,72219;43,14444;p;n;51;147;83;35;5380;275;39;236;118;217;217;80;651;86;11;40;245;71;71;197
bdd2251;cl1783;6005;NA;20080506;Convolvulus lanuginosus;France;3,11115;43,14433;p;n;84;146;95;36;5654;286;28;258;113;219;219;75;642;86;22;28;211;100;100;173
bdd2704;cl2190;6005;NA;20070629;Convolvulus lanuginosus;France;5,73188;43,14359;p;n;78;145;83;35;5424;274;38;236;117;216;216;79;655;87;11;40;247;71;71;199
bdd2276;cl1805;6005;NA;20010000;Convolvulus lanuginosus;France;3,11728;43,14358;p;n;68;146;95;36;5679;286;28;258;113;220;220;75;641;86;22;28;211;100;100;173
bdd2694;cl2181;6005;NA;20070629;Convolvulus lanuginosus;France;5,73372;43,14345;p;n;88;145;83;35;5389;273;38;235;117;216;216;79;658;87;11;40;248;71;71;199
bdd2243;cl1776;6005;NA;20100314;Convolvulus lanuginosus;France;5,7316;43,1434;p;n;78;145;83;35;5424;274;38;236;117;216;216;79;655;87;11;40;247;71;71;199
bdd2322;cl1847;6005;NA;20070419;Convolvulus lanuginosus;France;3,11039;43,14164;p;n;65;147;95;36;5670;287;28;259;114;221;221;75;639;86;22;28;209;100;100;172
gbif7511;7511;616563919;NA;NA;Convolvulus lanuginosus;Spain;-5,7;43,14;c;n;648;114;101;42;4665;246;11;235;90;174;175;57;791;106;40;28;271;142;150;206
gbif2432;2432;616563850;NA;NA;Convolvulus lanuginosus;Spain;-5,58;43,14;c;n;493;121;97;42;4484;247;21;226;98;179;180;66;765;103;39;28;261;139;146;194
bdd2254;cl1786;6005;NA;20080506;Convolvulus lanuginosus;France;3,09061;43,13749;p;n;121;144;94;36;5656;284;26;258;112;217;217;72;649;86;23;27;212;103;103;175
bdd2252;cl1784;6005;NA;19940320;Convolvulus lanuginosus;France;3,09508;43,13653;p;n;64;147;94;36;5658;287;29;258;114;221;221;76;638;86;22;28;209;100;100;172
bdd2104;cl1650;6005;NA;19940320;Convolvulus lanuginosus;France;3,09221;43,13573;p;n;64;147;94;36;5658;287;29;258;114;221;221;76;638;86;22;28;209;100;100;172
bdd2111;cl1657;6005;NA;20080504;Convolvulus lanuginosus;France;3,09605;43,13521;p;n;64;147;94;36;5658;287;29;258;114;221;221;76;638;86;22;28;209;100;100;172
bdd2131;cl1675;6005;NA;19980000;Convolvulus lanuginosus;France;3,11436;43,13372;p;n;65;147;95;36;5670;287;28;259;114;221;221;75;639;86;22;28;209;100;100;172
bdd2139;cl1682;6005;NA;19981100;Convolvulus lanuginosus;France;3,11399;43,13349;p;n;65;147;95;36;5670;287;28;259;114;221;221;75;639;86;22;28;209;100;100;172
bdd2323;cl1848;6005;NA;20070419;Convolvulus lanuginosus;France;3,10072;43,12976;p;n;32;148;95;36;5656;288;30;258;115;222;222;77;629;86;21;29;208;97;97;169
bdd2130;cl1674;6005;NA;19980000;Convolvulus lanuginosus;France;3,09978;43,12967;p;n;32;148;95;36;5666;288;30;258;115;222;222;77;630;86;21;29;208;97;97;169
bdd2135;cl1679;6005;NA;19981100;Convolvulus lanuginosus;France;3,09917;43,12654;p;n;32;148;95;36;5666;288;30;258;115;222;222;77;630;86;21;29;208;97;97;169
bdd2284;cl1812;6005;NA;20070518;Convolvulus lanuginosus;France;3,09875;43,12623;p;n;32;148;95;36;5666;288;30;258;115;222;222;77;630;86;21;29;208;97;97;169
bdd2098;cl1645;6005;NA;19950000;Convolvulus lanuginosus;France;3,07115;43,09605;p;n;45;148;94;36;5641;287;30;257;116;221;221;76;628;86;21;29;208;97;97;168
bdd2099;cl1646;6005;NA;19960522;Convolvulus lanuginosus;France;3,00126;43,06681;p;n;1;151;94;36;5642;289;32;257;118;224;224;79;617;85;21;29;205;94;94;166
bdd2250;cl1782;6005;NA;19960522;Convolvulus lanuginosus;France;3,00112;43,06671;p;n;1;151;94;36;5642;289;32;257;118;224;224;79;617;85;21;29;205;94;94;166
bdd2283;cl1811;6005;NA;20070905;Convolvulus lanuginosus;France;3,00219;43,06629;p;n;0;151;94;36;5655;290;32;258;119;224;224;79;615;85;20;29;205;93;93;166
bdd2093;cl1640;6005;NA;20000409;Convolvulus lanuginosus;France;3,03477;42,99953;p;n;3;151;93;36;5623;289;33;256;119;224;224;80;608;86;20;30;204;92;92;161
bdd2120;cl1665;6005;NA;20070427;Convolvulus lanuginosus;France;3,00626;42,99515;p;n;106;146;92;36;5625;284;29;255;114;219;219;76;633;86;22;28;209;100;100;167
bdd2078;cl1627;6005;NA;20060000;Convolvulus lanuginosus;France;2,99067;42,99505;p;n;91;147;92;35;5626;285;29;256;115;220;220;76;630;86;22;28;209;98;98;167
bdd2077;cl1626;6005;NA;20060000;Convolvulus lanuginosus;France;3,00526;42,99476;p;n;106;146;92;36;5625;284;29;255;114;219;219;76;633;86;22;28;209;100;100;167
bdd2074;cl1623;6005;NA;20060000;Convolvulus lanuginosus;France;2,99016;42,99437;p;n;91;147;92;35;5626;285;29;256;115;220;220;76;630;86;22;28;209;98;98;167
bdd2094;cl1641;6005;NA;20070427;Convolvulus lanuginosus;France;3,00282;42,99392;p;n;106;146;92;36;5625;284;29;255;114;219;219;76;633;86;22;28;209;100;100;167
bdd2346;cl1869;6005;NA;20040000;Convolvulus lanuginosus;France;3,00603;42,99321;p;n;106;146;92;36;5625;284;29;255;114;219;219;76;633;86;22;28;209;100;100;167
bdd2343;cl1866;6005;NA;20040000;Convolvulus lanuginosus;France;3,01722;42,99288;p;n;87;147;92;36;5614;285;30;255;115;220;220;77;629;86;22;28;209;98;98;167
bdd2115;cl1660;6005;NA;20050525;Convolvulus lanuginosus;France;3,00778;42,99263;p;n;106;146;92;36;5625;284;29;255;114;219;219;76;633;86;22;28;209;100;100;167
bdd2320;cl1845;6005;NA;20070522;Convolvulus lanuginosus;France;3,00697;42,99259;p;n;106;146;92;36;5625;284;29;255;114;219;219;76;633;86;22;28;209;100;100;167
bdd2113;cl1659;6005;NA;20050525;Convolvulus lanuginosus;France;3,00618;42,9925;p;n;106;146;92;36;5625;284;29;255;114;219;219;76;633;86;22;28;209;100;100;167
bdd2118;cl1663;6005;NA;20070427;Convolvulus lanuginosus;France;3,01122;42,99068;p;n;82;148;92;35;5624;286;30;256;116;221;221;77;628;86;22;28;208;98;98;167
bdd2117;cl1662;6005;NA;20070427;Convolvulus lanuginosus;France;3,01005;42,99057;p;n;82;148;92;35;5624;286;30;256;116;221;221;77;628;86;22;28;208;98;98;167
bdd2344;cl1867;6005;NA;20040000;Convolvulus lanuginosus;France;3,01209;42,9904;p;n;82;148;92;35;5624;286;30;256;116;221;221;77;628;86;22;28;208;98;98;167
bdd2075;cl1624;6005;NA;20060000;Convolvulus lanuginosus;France;3,00912;42,99032;p;n;82;148;92;35;5624;286;30;256;116;221;221;77;628;86;22;28;208;98;98;167
bdd2112;cl1658;6005;NA;20090514;Convolvulus lanuginosus;France;3,01004;42,99028;p;n;82;148;92;35;5624;286;30;256;116;221;221;77;628;86;22;28;208;98;98;167
bdd2261;cl1792;6005;NA;20100424;Convolvulus lanuginosus;France;3,0097;42,99027;p;n;82;148;92;35;5624;286;30;256;116;221;221;77;628;86;22;28;208;98;98;167
bdd2076;cl1625;6005;NA;20060000;Convolvulus lanuginosus;France;3,01142;42,9902;p;n;82;148;92;35;5624;286;30;256;116;221;221;77;628;86;22;28;208;98;98;167
bdd2345;cl1868;6005;NA;20040000;Convolvulus lanuginosus;France;3,00411;42,98837;p;n;87;147;92;36;5638;285;30;255;115;221;221;76;629;86;22;28;209;98;98;167
bdd2110;cl1656;6005;NA;20020701;Convolvulus lanuginosus;France;3,01455;42,98452;p;n;82;148;92;35;5624;286;30;256;116;221;221;77;628;86;22;28;208;98;98;167
bdd2264;cl1795;6005;NA;20110505;Convolvulus lanuginosus;France;3,01568;42,98174;p;n;1;152;93;36;5619;290;34;256;120;225;225;81;604;85;20;30;203;91;91;160
bdd2406;cl1922;6005;NA;20120611;Convolvulus lanuginosus;France;2,96006;42,95911;p;n;71;149;92;36;5641;286;31;255;116;222;222;78;621;86;21;29;207;95;95;165
bdd2096;cl1643;6005;NA;20070427;Convolvulus lanuginosus;France;2,96585;42,95647;p;n;79;148;92;36;5643;286;31;255;115;222;222;77;625;86;22;28;207;98;98;165
bdd2409;cl1925;6005;NA;20120611;Convolvulus lanuginosus;France;2,96777;42,95474;p;n;43;150;92;35;5662;288;32;256;118;224;224;79;613;85;21;29;205;94;94;162
bdd2408;cl1924;6005;NA;20120611;Convolvulus lanuginosus;France;2,96678;42,9542;p;n;43;150;92;35;5662;288;32;256;118;224;224;79;613;85;21;29;205;94;94;162
bdd2119;cl1664;6005;NA;20070427;Convolvulus lanuginosus;France;2,96739;42,95226;p;n;43;150;92;35;5662;288;32;256;118;224;224;79;613;85;21;29;205;94;94;162
bdd2101;cl1648;6005;NA;20000507;Convolvulus lanuginosus;France;2,90975;42,94454;p;n;204;142;91;35;5645;279;26;253;110;215;215;71;658;86;25;26;212;109;109;171
bdd2402;cl1919;6005;NA;20000507;Convolvulus lanuginosus;France;2,91777;42,94198;p;n;210;141;90;35;5643;280;25;255;109;215;215;71;660;87;25;26;214;109;109;172
bdd2262;cl1793;6005;NA;19961110;Convolvulus lanuginosus;France;3,01821;42,92969;p;n;35;151;92;36;5620;289;34;255;119;224;224;81;608;86;20;30;205;92;92;160
bdd2256;cl1788;6005;NA;20080524;Convolvulus lanuginosus;France;2,96285;42,92557;p;n;50;150;91;35;5654;288;33;255;118;224;224;79;611;85;21;29;205;94;94;162
bdd2109;cl1655;6005;NA;19900412;Convolvulus lanuginosus;France;3,01668;42,92554;p;n;35;151;92;36;5620;289;34;255;119;224;224;81;608;86;20;30;205;92;92;160
bdd2396;cl1913;6005;NA;20040820;Convolvulus lanuginosus;France;3,05136;42,92376;p;n;45;150;91;35;5565;287;34;253;119;223;223;80;609;87;20;31;206;92;92;160
bdd2398;cl1915;6005;NA;20040826;Convolvulus lanuginosus;France;3,05359;42,92266;p;n;45;150;91;35;5565;287;34;253;119;223;223;80;609;87;20;31;206;92;92;160
bdd2106;cl1652;6005;NA;19940417;Convolvulus lanuginosus;France;3,05461;42,92165;p;n;45;150;91;35;5565;287;34;253;119;223;223;80;609;87;20;31;206;92;92;160
bdd2401;cl1918;6005;NA;20040708;Convolvulus lanuginosus;France;3,04986;42,91705;p;n;48;150;91;35;5588;287;33;254;118;223;223;80;609;86;20;30;205;93;93;160
gbif915;915;998745603;2013;2013-06-08T22:00:00.000+0000;Convolvulus lanuginosus;France;3,02889;42,91056;p;n;48;150;91;35;5583;287;33;254;119;223;223;80;607;86;20;30;205;92;92;159
bdd2257;cl1789;6005;NA;19950825;Convolvulus lanuginosus;France;3,0184;42,90024;p;n;4;153;92;36;5585;289;36;253;120;226;226;83;598;86;20;31;203;90;90;157
bdd2089;cl1637;6005;NA;18910000;Convolvulus lanuginosus;France;3,01022;42,89919;p;n;1;153;91;35;5610;290;36;254;120;226;226;82;595;86;19;31;203;89;89;156
bdd2100;cl1647;6005;NA;20000000;Convolvulus lanuginosus;France;3,03087;42,8991;p;n;0;153;91;35;5605;290;36;254;121;226;226;83;595;86;19;31;203;89;89;156
bdd2121;cl1666;6005;NA;19860518;Convolvulus lanuginosus;France;3,00426;42,89702;p;n;0;153;91;35;5600;290;36;254;121;226;226;83;595;86;19;31;203;89;89;156
bdd2809;cl2285;6005;NA;20060000;Convolvulus lanuginosus;France;3,03062;42,89696;p;n;0;153;91;35;5605;290;36;254;121;226;226;83;595;86;19;31;203;89;89;156
bdd2116;cl1661;6005;NA;20080311;Convolvulus lanuginosus;France;3,00492;42,89649;p;n;0;153;91;35;5600;290;36;254;121;226;226;83;595;86;19;31;203;89;89;156
bdd2263;cl1794;6005;NA;20090510;Convolvulus lanuginosus;France;3,00482;42,89648;p;n;0;153;91;35;5600;290;36;254;121;226;226;83;595;86;19;31;203;89;89;156
bdd2095;cl1642;6005;NA;19940417;Convolvulus lanuginosus;France;3,00337;42,89639;p;n;0;153;91;35;5600;290;36;254;121;226;226;83;595;86;19;31;203;89;89;156
bdd2088;cl1636;6005;NA;18910000;Convolvulus lanuginosus;France;3,00334;42,89636;p;n;0;153;91;35;5600;290;36;254;121;226;226;83;595;86;19;31;203;89;89;156
bdd2407;cl1923;6005;NA;20120509;Convolvulus lanuginosus;France;3,03234;42,89631;p;n;0;153;91;35;5605;290;36;254;121;226;226;83;595;86;19;31;203;89;89;156
bdd2126;cl1670;6005;NA;18750614;Convolvulus lanuginosus;France;3,00314;42,89622;p;n;0;153;91;35;5600;290;36;254;121;226;226;83;595;86;19;31;203;89;89;156
bdd2410;cl1926;6005;NA;20110415;Convolvulus lanuginosus;France;2,97059;42,88469;p;n;103;148;90;35;5628;285;31;254;116;221;221;78;621;86;22;29;207;98;98;161
bdd2097;cl1644;6005;NA;19980329;Convolvulus lanuginosus;France;2,98266;42,87009;p;n;72;150;90;35;5650;287;33;254;118;224;224;79;612;86;21;29;205;95;95;159
bdd2122;cl1667;6005;NA;18880613;Convolvulus lanuginosus;France;2,98087;42,86629;p;n;7;153;91;35;5637;290;36;254;122;227;227;82;594;86;20;31;202;90;90;155
bdd2286;cl1814;6005;NA;20070629;Convolvulus lanuginosus;France;2,93263;42,86553;p;n;189;144;90;35;5632;281;28;253;112;217;217;73;644;87;24;27;211;105;105;165
bdd2287;cl1815;6005;NA;20070629;Convolvulus lanuginosus;France;2,9299;42,86539;p;n;189;144;90;35;5632;281;28;253;112;217;217;73;644;87;24;27;211;105;105;165
bdd2285;cl1813;6005;NA;20070629;Convolvulus lanuginosus;France;2,93128;42,86507;p;n;189;144;90;35;5632;281;28;253;112;217;217;73;644;87;24;27;211;105;105;165
bdd2274;cl1803;6005;NA;20090000;Convolvulus lanuginosus;France;2,97229;42,86377;p;n;1;154;91;35;5620;290;36;254;122;227;227;83;591;85;19;31;201;88;88;155
bdd2340;cl1863;6005;NA;20041125;Convolvulus lanuginosus;France;2,94674;42,86327;p;n;149;146;90;35;5634;283;30;253;114;219;219;76;633;87;23;28;209;102;102;163
bdd2273;cl1802;6005;NA;20090000;Convolvulus lanuginosus;France;2,94189;42,85976;p;n;149;146;90;35;5634;283;30;253;114;219;219;76;633;87;23;28;209;102;102;163
bdd2342;cl1865;6005;NA;20050301;Convolvulus lanuginosus;France;2,91509;42,849;p;n;58;151;90;35;5656;288;35;253;118;225;225;81;606;86;21;30;204;93;93;157
bdd2255;cl1787;6005;NA;20050704;Convolvulus lanuginosus;France;2,91211;42,84458;p;n;58;151;90;35;5656;288;35;253;118;225;225;81;606;86;21;30;204;93;93;157
bdd2272;cl1801;6005;NA;20090000;Convolvulus lanuginosus;France;2,89758;42,84121;p;n;95;149;90;35;5631;285;33;252;116;222;222;79;614;86;22;29;205;96;96;159
bdd2123;cl1668;6005;NA;19060000;Convolvulus lanuginosus;France;2,76176;42,80501;p;n;311;137;87;34;5631;273;23;250;105;210;210;67;699;87;30;22;216;128;128;174
bdd2090;cl1638;6005;NA;20040601;Convolvulus lanuginosus;France;2,74541;42,79749;p;n;281;138;87;34;5591;275;25;250;107;211;211;68;691;87;30;23;214;126;126;172
bdd2144;cl1687;6005;NA;19930000;Convolvulus lanuginosus;France;2,75421;42,78407;p;n;151;146;88;34;5642;282;30;252;114;219;219;75;643;85;25;25;206;109;109;162
bdd2265;cl1796;6005;NA;19860518;Convolvulus lanuginosus;France;2,78124;42,77073;p;n;147;146;88;34;5667;283;31;252;114;221;221;76;639;86;25;26;207;107;107;161
bdd2341;cl1864;6005;NA;20060205;Convolvulus lanuginosus;France;2,76488;42,76544;p;n;263;140;87;34;5638;275;26;249;108;213;213;70;680;87;29;23;212;123;123;167
bdd2294;cl1821;6005;NA;20120515;Convolvulus lanuginosus;France;2,76593;42,76527;p;n;263;140;87;34;5638;275;26;249;108;213;213;70;680;87;29;23;212;123;123;167
bdd2295;cl1822;6005;NA;20120515;Convolvulus lanuginosus;France;2,76897;42,76509;p;n;225;142;87;34;5678;278;27;251;110;216;216;71;666;87;27;24;211;117;117;165
bdd2296;cl1823;6005;NA;20120515;Convolvulus lanuginosus;France;2,76411;42,76469;p;n;263;140;87;34;5638;275;26;249;108;213;213;70;680;87;29;23;212;123;123;167
gbif1410;1410;998745597;2012;2012-06-28T22:00:00.000+0000;Convolvulus lanuginosus;France;2,71892;42,75971;p;n;226;142;87;34;5646;277;28;249;110;215;215;71;673;86;28;23;209;121;121;166
gbif3891;3891;357715037;1983;NA;Convolvulus lanuginosus;Spain;-1,84799;42,6743;c;n;470;123;102;39;5574;270;10;260;62;196;196;53;864;102;42;22;273;152;152;256
gbif5351;5351;767250552;1957;NA;Convolvulus lanuginosus;Spain;-3,12504;42,65163;c;n;924;100;93;38;5302;240;-1;241;43;169;170;35;775;84;39;19;232;146;147;216
gbif2002;2002;30300382;1996;NA;Convolvulus lanuginosus;Spain;0,2;42,19;c;n;618;113;103;38;5822;261;-8;269;134;39;188;39;626;73;36;20;191;124;149;124
gbif1991;1991;30859766;1996;NA;Convolvulus lanuginosus;Spain;0,1;42,15;c;n;598;113;103;38;5773;261;-7;268;135;40;188;40;586;70;33;21;179;116;137;116
gbif3371;3371;997549871;1986;NA;Convolvulus lanuginosus;Spain;0,87;42,1;c;n;594;120;99;36;6052;270;0;270;142;44;199;44;695;79;39;22;217;129;186;129
bdd2831;cl2304;1776149;2001;20010504;Convolvulus lanuginosus;Spain;0,28189;42,03286;c;n;526;121;105;37;6022;274;-3;277;144;44;199;44;567;68;32;22;177;108;136;108
bdd2830;cl2303;1776148;2001;20011109;Convolvulus lanuginosus;Spain;0,28228;42,02387;c;n;585;118;105;38;5994;270;-5;275;141;42;195;42;585;70;33;22;182;113;140;113
bdd2818;cl2293;1776150;1994;19940629;Convolvulus lanuginosus;Spain;0,28266;42,01487;c;n;520;122;106;38;6041;275;-3;278;145;45;200;45;560;67;31;22;175;107;134;107
bdd2817;cl2292;1776153;1994;19940629;Convolvulus lanuginosus;Spain;0,27098;42,00559;c;n;447;126;107;38;6076;281;0;281;150;48;204;48;533;65;30;23;168;100;128;100
gbif1598;1598;617708152;NA;NA;Convolvulus lanuginosus;Spain;3,12;42;c;n;4;161;76;34;5056;277;56;221;171;226;227;99;586;94;20;35;209;100;127;127
bdd2819;cl2294;1776152;1993;19930515;Convolvulus lanuginosus;Spain;0,30755;41,99745;c;n;545;120;105;37;6036;274;-4;278;144;44;199;44;569;68;32;22;178;108;137;108
bdd2898;cl2365;2428595;NA;NA;Convolvulus lanuginosus;Spain;0,52746;41,93035;c;n;553;123;106;37;6226;279;-2;281;147;44;203;44;594;71;33;23;189;111;147;111
gbif3112;3112;997576207;1987;NA;Convolvulus lanuginosus;Spain;0,88;41,89;c;n;256;142;104;37;6287;296;15;281;168;62;223;62;528;62;27;25;168;94;133;94
bdd2899;cl2366;2428596;NA;NA;Convolvulus lanuginosus;Spain;0,57736;41,88639;c;n;489;128;107;37;6314;286;0;286;153;48;209;48;565;68;30;24;181;104;140;104
gbif2149;2149;617712649;NA;NA;Convolvulus lanuginosus;Spain;0,46;41,88;c;n;494;127;107;37;6285;285;0;285;152;47;208;47;551;67;30;24;177;102;135;102
gbif16921;16921;616946717;NA;NA;Convolvulus lanuginosus;Spain;0,58;41,88;c;n;389;134;109;37;6387;294;3;291;160;52;216;52;530;64;28;24;171;97;131;97
gbif2314;2314;860319879;NA;NA;Convolvulus lanuginosus;Spain;0,77;41,85;c;n;483;130;104;37;6276;285;4;281;154;50;211;50;580;69;31;24;185;106;146;106
gbif1107;1107;616946604;NA;NA;Convolvulus lanuginosus;Spain;0,83;41,8;c;n;240;145;106;36;6399;302;15;287;171;63;227;63;501;60;25;27;162;88;124;88
gbif10711;10711;617723072;NA;NA;Convolvulus lanuginosus;Spain;0,71;41,79;c;n;287;142;110;37;6541;304;9;295;169;58;225;58;494;60;25;26;161;88;122;88
gbif1603;1603;617894329;NA;NA;Convolvulus lanuginosus;Spain;1,79;41,63;c;n;446;141;76;33;5527;266;36;230;190;73;214;73;652;75;34;24;202;121;165;121
gbif1611;1611;317829661;NA;NA;Convolvulus lanuginosus;Spain;1,86;41,59;c;n;318;149;74;32;5455;271;44;227;197;82;221;82;624;74;32;25;200;116;160;116
gbif26491;26491;860312819;NA;NA;Convolvulus lanuginosus;Spain;1,794;41,586;c;n;538;136;75;32;5515;262;32;230;186;70;210;70;679;77;35;24;209;128;170;128
bdd2816;cl2291;NA;?;NA;Convolvulus lanuginosus;Spain;1,88544;41,58101;c;n;370;146;74;32;5462;270;42;228;195;80;219;80;639;75;33;25;203;120;163;120
gbif2284;2284;895212276;1994;NA;Convolvulus lanuginosus;Spain;1,89;41,578;c;n;370;146;74;32;5462;270;42;228;195;80;219;80;639;75;33;25;203;120;163;120
bdd2900;cl2367;1639495;NA;NA;Convolvulus lanuginosus;Spain;1,93245;41,57373;c;n;378;146;73;32;5437;269;43;226;195;81;218;81;644;75;33;25;205;121;163;121
gbif2144;2144;617944873;NA;NA;Convolvulus lanuginosus;Spain;1,68;41,54;c;n;336;147;76;33;5453;270;42;228;157;80;219;80;621;73;29;26;198;118;154;118
gbif6721;6721;617821617;NA;NA;Convolvulus lanuginosus;Spain;1,8;41,54;c;n;336;148;74;32;5449;271;44;227;158;82;220;82;630;74;30;25;203;120;157;120
gbif13511;13511;616589569;NA;1987-12-31T23:00:00.000+0000;Convolvulus lanuginosus;Spain;1,44;41,54;c;n;739;123;81;33;5609;255;16;239;132;56;198;56;710;80;35;23;212;136;172;136
gbif2291;2291;895222701;1994;NA;Convolvulus lanuginosus;Spain;-1,38;41,5;c;n;359;138;105;37;6227;293;12;281;161;218;218;59;363;53;17;32;124;70;80;77
gbif2262;2262;895225475;1994;NA;Convolvulus lanuginosus;Spain;-1,425;41,474;c;n;429;134;105;37;6208;289;7;282;157;214;214;56;371;55;18;33;128;72;82;79
gbif849;849;617842187;NA;1995-12-31T23:00:00.000+0000;Convolvulus lanuginosus;Spain;0,24;41,42;c;n;280;145;108;37;6211;303;16;287;170;79;226;69;429;56;18;31;136;78;89;79
bdd2815;cl2290;NA;?;NA;Convolvulus lanuginosus;Spain;1,94458;41,36444;c;n;381;148;71;32;5301;267;48;219;159;217;219;85;673;85;28;26;224;130;158;139
gbif20581;20581;616419600;NA;NA;Convolvulus lanuginosus;Spain;1,8;41,36;c;n;300;151;72;32;5293;269;50;219;162;220;222;88;642;82;27;27;215;125;153;131
gbif1249;1249;616591149;NA;NA;Convolvulus lanuginosus;Spain;0,6;41,34;c;n;374;143;104;37;6155;295;16;279;147;77;223;67;505;61;20;29;156;96;103;99
gbif1703;1703;616473497;NA;1995-12-31T23:00:00.000+0000;Convolvulus lanuginosus;Spain;0,25;41,33;c;n;290;146;107;37;6089;301;18;283;149;81;226;72;441;57;18;32;141;80;89;82
gbif1593;1593;616450609;NA;NA;Convolvulus lanuginosus;Spain;1,8;41,27;c;n;95;162;71;33;5140;275;62;213;173;228;230;100;602;86;23;31;215;113;144;123
gbif1908;1908;617910107;NA;NA;Convolvulus lanuginosus;Spain;1,08;41,26;c;n;908;114;85;34;5695;250;5;245;123;53;191;47;727;81;32;24;220;150;162;150
gbif1815;1815;617908949;NA;NA;Convolvulus lanuginosus;Spain;0,49;41,25;c;n;98;159;105;38;5981;308;32;276;162;95;237;87;424;56;14;36;147;73;79;79
gbif1196;1196;617550525;NA;NA;Convolvulus lanuginosus;Spain;0,49;41,16;c;n;524;136;100;37;5917;283;14;269;140;214;214;66;553;66;20;29;175;106;106;113
gbif1743;1743;616436749;NA;NA;Convolvulus lanuginosus;Spain;0,61;41,16;c;n;30;164;100;37;5746;306;41;265;166;101;240;96;454;63;14;39;166;78;105;86
gbif12891;12891;616421347;NA;NA;Convolvulus lanuginosus;Spain;0,73;41,16;c;n;187;155;97;37;5765;296;34;262;159;231;232;87;518;68;16;35;180;93;115;103
gbif6731;6731;617934975;NA;NA;Convolvulus lanuginosus;Spain;0,61;41,07;c;n;89;162;98;37;5700;301;41;260;164;237;238;96;494;69;14;38;180;85;111;97
