site;type_bio;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y;A.x;B.x;C.x;A.y;B.y;C.y
Cephalaria ;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,833333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cistus albidus L.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dactylis glomerata (hispanica? Fin!);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,416666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Erica cf multiflora;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
feuille en 3 partie IND??;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fumana cf ericoides;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fumana thymifolia (L.) Spach ex Webb subsp. thymifolia;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,25;0;1,333333333;0;0;0;0;0;0;0;0;1;0;0;0
Helianthemum sp. (marifolium?);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,833333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Helichrysum stoechas (L.) Moench subsp. stoechas;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0;0,833333333;1,666666667;0,333333333
Phlomis lychnitis L.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,833333333;0,5;0;0;0;0;0;0;0;0;0;0;0;0
Stipa sp. (touffe);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,583333333;4;4,5;0;0;0;0;0;0;0;0;0;0;0;0
Teucrium (chamaedrys?);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0;0;0;0;0;0;0;0
Thymus sp. (vulgare);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,5;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0
Ulex parviflorus Pourr. subsp. parviflorus;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,75;0,833333333;1;2;1,333333333;0;4,083333333;0;0;8,366666667;3,166666667;0;2,083333333;1,833333333;0
Avenula;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10,75;4,583333333;2,833333333;0;0;0;0;0;0;0;0;0
Centaurea;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Fabaceae ch fleur jaune gauque pâle;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,833333333;0,5;0;0;0;0;0;0;0;0;0
Fumana ericoides subsp. montana (Pomel) Güemes & Munoz Garm.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;1,033333333;0,666666667;0,333333333;0,5;0;0
Lysimachia arvensis (L.) U.Manns & Anderb. subsp. arvensis;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,416666667;0;0;0;0;0;0;0;0;0
Misopates orontium (L.) Raf.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0;0;0
Phagnalon sp;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;2,616666667;0,5;0;0;0;0;0;0;0;0;0
Stipa sp (tjs la même touffe filiforme);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2,5;0;0;0;0;0;0;0;0;0;0
Apiaceae (odeur***);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25;1,583333333;5,033333333;0;0;0;0;0;0
Apiaceae ind (ferule) odeur cannabis;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,333333333;0;0;0;0;0;0
Argyrolobium zanonii (Turra) P.W.Ball subsp. zanonii ;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0,333333333;0,666666667;0,5;0;0;0
Asperula cynanchica L. subsp. cynanchica;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,666666667;0;0;0;0;0;0;0;0
Biscutella cf laevigata;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,166666667;1,333333333;0;0;0;0;0;0
Carex halleriana Asso subsp. halleriana;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1
Centaurea fleur blanche (gr ***);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Charybdis maritima (L.) Speta;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,75;6,533333333;0;0;0;0;0;0
Cistus monspeliensis ?;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0;0,25;0;0;0;0;0;0
Coris monspeliensis L. subsp. monspeliensis;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0
Daphne gnidium L.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,75;0;0;0;0;0;0;0;0
Erica multiflora L.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,166666667;0;0;0;0;0;0;0
Fabaceae fleur jaune ch;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0
Gallium th;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0;0;0;0;0;0
Hedypnois rhagadioloides (grêle poil tif);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,333333333;1,116666667;0;0;0;0;0;0
Helianthemun sp (grd/cyme scorp);;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,166666667;0;0;0;0;0;0;0;0
Polygala rupestris Pourr.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,333333333;0;0;0;0;0;0;0;0
Sonchus sp;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0,333333333;0;0;0;0;0;0
Teucrium pseudochamaepitys L.;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4,45;0;1,583333333;0,5;0;0;0
Valerianella sp;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,5;0;0;0;0;0;0
Apiaceae cf Ruta mais pas angusti odeur douce;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,75;0;0;0;0
