id_releve	orga_fournisseur	programmes	date_releve_deb	date_releve_fin	releve_type	observateurs	insee	lieudit	comm_loc	comm_milieu	lithologie	geologie	exposition	pente	rec_total	refbiblio	page	code_perso	id_precision	x_l93	y_l93
1136785	Naturalia Environnement		2014-05-19	2014-05-19	Relevé de terrain	CROZE Thomas	13028												P	910178	6237739
284982	Bureau d'études ECO-MED (Ecologie et Médiation)		2007-05-09	2007-05-09	Relevé de terrain	LEJEUNE Solenne	13021	LE ROUET	Massif au dessus de la voie ferrée										P	877059	6250849
8611676	Réseau des botanistes amateurs du CBNMed		2009-05-06	2009-05-06	Relevé de terrain	LEWIN Jean-Marc	66030	les Comes de la Quera	A l'est du village.	Garrigue, friches, cultures.								2169	T	681471	6184724
10439473	Réseau des botanistes amateurs du CBNMed		2010-05-12	2010-05-12	Relevé de terrain	LEWIN Jean-Marc	66041	Coma de l'Ermita Est	Au SSE du village.	Friches, garrigue, cultures.								2261	P	683426	6185426
8015595	Agence MTDA		2015-05-19	2015-05-19	Relevé de terrain	MALLOL Sébastien	83027											0314MTDA15	P	921275	6240442
1136782	Naturalia Environnement		2014-05-19	2014-05-19	Relevé de terrain	CROZE Thomas	13028												P	910171	6237750
362253	Bureau d'Etudes CERCIS		2010-01-01	2010-12-31	Bibliographie	FAURE Karine	83112		en bordure du chemin							CERCIS, Andromède océanologie, 2010. Réseau Natura 2000. Site La Pointe fauconnière (FR9301609). Document d'objectifs.			P	921537	6231082
8015607	Agence MTDA		2015-05-19	2015-05-19	Relevé de terrain	MALLOL Sébastien	83027											0329MTDA15	P	920615	6239271
288054	Bureau d'études ECO-MED (Ecologie et Médiation)		2006-04-27	2006-04-27	Relevé de terrain	ABOUCAYA Annie / FERREIRA Olivier	13028	LE MENTAURE	Près du portail du haut.										P	910708	6238892
359426	Bureau d'études ECO-MED (Ecologie et Médiation)		2007-04-24	2007-04-24	Relevé de terrain	LEJEUNE Solenne	83112	LE PIGEONNIER	Proximité du sentier du Littoral										P	918795	6232181
12126255	Nature en Occitanie		2017-05-13	2017-05-13	Relevé de terrain	BIRÉE Patrice	11202												A	704590	6201037
1136783	Naturalia Environnement		2014-05-19	2014-05-19	Relevé de terrain	CROZE Thomas	13028												P	910172	6237750
348630	Conservatoire botanique national méditerranéen de Porquerolles	Inventaire général du CBNMED	2007-05-27	2007-05-27	Relevé de terrain	MICHAUD Henri / MORVANT Yves	83027	LES MARQUANS		Garrigues								220	P	922333	6239779
284792	Bureau d'études ECO-MED (Ecologie et Médiation)		2007-06-19	2007-06-19	Relevé de terrain	AUDA Pascal	13028	ROUMAGOUA											P	911398	6238751
352264	Conservatoire botanique national méditerranéen de Porquerolles	Inventaire général du CBNMED	2008-12-07	2008-12-07	Relevé de terrain	MICHAUD Henri / MORVANT Yves	83027	REVERS DE BOQUIE										0265y	P	919004	6239999
8611204	Réseau des botanistes amateurs du CBNMed		2010-05-22	2010-05-22	Relevé de terrain	LEWIN Jean-Marc	66071	Conills d'Estagel	Au SE du village.	Garrigue, friches, cultures.								2623	T	677376	6184795
341458	Conservatoire botanique national méditerranéen de Porquerolles	Inventaire général du CBNMED	2005-11-12	2005-11-12	Relevé de terrain	MICHAUD Henri / MORVANT Yves	83112	LE PIGEONNIER	bord de sentier	garrigue			Sud-Est	1° à 5°				0282v	P	919172	6232681
12244906	Parc national des Calanques		2021-06-10	2021-06-10	Relevé de terrain	URVOY GAËLLE	13022	BOIS DE MENTAURE											P	910685	6238906
82	Conservatoire botanique national méditerranéen de Porquerolles		1994-04-17	1994-04-17	Bibliographie	BARREAU Dominique / CASTEL Henri	11202	CAP LEUCATE	Près du Phare, dans les creux de la roche							BARREAU D. & CASTEL H. , 1994. Groupe Botanique - Compte-rendu d'activité pour l'année 1994. Bull. Soc. Et. Sci. Aude, XCIV 	167		T	704651	6201346
2655754	Conservatoire botanique national méditerranéen de Porquerolles		1952-05-11	1952-05-11	Herbier	GAVELLE Georges	13033	GARE DE LA REDONNE	rochers près de la voie ferrée										T	878269	6250851
359413	Bureau d'études ECO-MED (Ecologie et Médiation)		2007-06-29	2007-06-29	Relevé de terrain	LEJEUNE Solenne	83009	ROUSTAGNON	le long de la piste Les Crêtes										P	922588	6231448
8122048	Parc national des Calanques		2016-04-16	2016-04-16	Relevé de terrain	CROUZET Nicolas	13023	LA SAMBRE											P	917087	6239043
11425	Conservatoire botanique national méditerranéen de Porquerolles		1998-11-01	1998-11-30	Relevé de terrain	MICHAUD Henri	11170	CHAUCHOLE											T	708025	6225259
8703288	Conservatoire d'espaces naturels du Languedoc-Roussillon		2020-05-12	2020-05-12	Relevé de terrain	NICOLAS Sylvain	66071												P	677335	6185456
8413802	Bureau d'études ECO-MED (Ecologie et Médiation)		2013-09-11	2013-09-11	Relevé de terrain	JUINO David	83027												P	921988	6240652
153787	Conservatoire botanique national méditerranéen de Porquerolles	Inventaire général du CBNMED	2012-05-15	2012-05-15	Relevé de terrain	ARGAGNON Olivier	66030	LA CRESSE	Calce : à la Cresse, sur la crête	Pelouse rocailleuse							""	JD182	P	681016	6185091
8015623	Agence MTDA		2015-05-19	2015-05-19	Relevé de terrain	MALLOL Sébastien	83027											0358MTDA15	P	920556	6238946
284968	Bureau d'études ECO-MED (Ecologie et Médiation)		2007-05-30	2007-05-30	Relevé de terrain	LEJEUNE Solenne	13023	LES YSSARDS											P	915789	6239438
284821	Bureau d'études ECO-MED (Ecologie et Médiation)		2007-04-13	2007-04-13	Relevé de terrain	LEJEUNE Solenne / AUDA Pascal	13028	ROUMAGOUA	Nord ouest du Roumagoua										P	911329	6238630
12246642	Parc national des Calanques		2021-06-10	2021-06-10	Relevé de terrain	FERREIRA Olivier	13022	BOIS DE MENTAURE											P	909849	6239275
1171893	Conservatoire botanique national méditerranéen de Porquerolles		2015-11-11	2015-11-11	Relevé de terrain	MICHAUD Henri	13028	LA SAMBRE										GH111	P	917517	6238069
1171884	Conservatoire botanique national méditerranéen de Porquerolles		2015-11-11	2015-11-11	Relevé de terrain	MICHAUD Henri	13028	LA LOUISIANNE		croisée de chemins								GH120	P	917284	6237837
