Code;Code_source;Année;Date;Nom_espèce_source;Nom_RefTax_MNHN;Pays;Region;Ville;Quartier/lieux dit;UTM;UTM1;UTM10;Latitude;Longitude;Altitude;Mode_lecture;Précision;Précision;Type_acquisition ;nom_Observateur;orga_Observateur;Nom_bdd;Auteur;Année_publication;Titre_publication;Nom_revue;confidentialité;nom_fournisseur;organisation;Indigénat_population;Nombre_individus;Surface_patch;abondance_rareté;Description;Corinne;Direct_hab;Ordre;Association;Remarque;Remarque
1377;;1996;12/06/1996;Convolvulus lanuginosus;;ESPAÑA;HUESCA;Naval;Barranco El Mallo;31TBG67;31TBG6975;;42,19305;0,20238;;;;1000;communication personnelle;L.VILLAR, P.MONTSERRAT & J.V.FERRANDEZ;;IPE JACA;;;;;privées;Maria Begona Garcia;IPE;;;;;Laderas secas con madroño.;;;;;;
1;cl10;2014;20140513;Convolvulus lanuginosus;;Espagne;Andalucia;;Alhama de Almeria route…;;;;36,95591;-2,59785;;;;1;donnée inédite;Guillaume Papuga;;;;;;;;;;;;100_500;1000_5000;pelouse à mélange Brachypode et Ammophila;;;;;;
2;cl9;2014;20140508;Convolvulus lanuginosus;;Espagne;Valenciana;;Alcai;;;;38,71985;-0,53925;;;;1;donnée inédite;Guillaume Papuga;;;;;;;;;;;;1000_5000;10000;garrigue à Cistus ladanifer?;;;;;;
3;cl8;2014;20140507;Convolvulus lanuginosus;;Espagne;Valenciana;;Castellonet de la Conqueste;;;;38,90372;-0,25545;;;;1;donnée inédite;Guillaume Papuga;;;;;;;;;;;;100_500;1000_5000;garrigue sur roche avec matoral bas ayant brûlé il y a quelques années;;;;;;
4;cl7;2014;20140506;Convolvulus lanuginosus;;Espagne;Valenciana;;Riba Roja de Turia ligne éléctrique;;;;39,5476;-0,60004;;;;1;donnée inédite;Guillaume Papuga;;;;;;;;;;;;100_500;500_1000;garrigue sur pente rocheuse/éboulis;;;;;;
5;cl6;2014;20140505;Convolvulus lanuginosus;;Espagne;Valenciana;;Serra;;;;39,70866;-0,4279;;;;1;donnée inédite;Guillaume Papuga;;;;;;;;;;;;100_500;1000_5000;forêt sur plantation clairsemée de Pin d'Halep sur le col parallèle 2 collines;;;;;;
6;;2014;20140509;Convolvulus lanuginosus;;Espagne;;;Rute;;;;37,32868;-4,35535;;;;1;donnée inédite;Regina Berjano;;;;;;;;;;;;;;;;;;;;
7;;2016;20160414;Convolvulus lanuginosus;;;;Marbella;;;;;36,533983;-4,877838;;pointage carte;;30;Flickr;;;;;;;;libre;;;;;;;;;;;;;
8;;2016;20160414;Convolvulus lanuginosus;;;Andalucia;;Ermita y Torreón de Cuadros;;;;37,789092;-3,409646;;pointage carte;;30;Flickr;;;;;;;;libre;;;;;;;;;;;;;
9;703008;2010;20100413;Convolvulus lanuginosus;;Spain;ALICANTE;Orihuela;;30SXH71;30SXH7617;;38,08805;-0,99243;;GPS;point GPS;30;import BDD internet;J. Pérez Botella;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
10;702983;2010;20100408;Convolvulus lanuginosus;;Spain;ALICANTE;Crevillent;;30SXH93;30SXH9036;;38,25592;-0,81866;;GPS;point GPS;30;import BDD internet;J. Pérez Botella,R. Carchano Jordá;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
11;797922;2010;20100603;Convolvulus lanuginosus;;Spain;;;La Algüeda;30SXH83;30SXH8236;;38,25813;-0,91721;;GPS;point GPS;30;import BDD internet;J. Pérez Botella;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
12;;2016;20160414;Convolvulus lanuginosus;;;;;Cabezo de Turra, Sierra de la Pila (refuge);;;;38,265854;-1,17875;;pointage carte;;30;Flickr;;;;;;;;libre;;;;;;;;;;;;;
13;333524;2008;20080621;Convolvulus lanuginosus;;Spain;ALICANTE;Benidorm;Parc Natural de la Serra Gelada;30SYH56;30SYH5368;;38,53317;-0,08603;;GPS;point GPS;30;import BDD internet;A. Vicente,E. Lluzar Buigues,J. Güemes Heras,J. L. Villar,J. Riera Vicent,M. B. Crespo Villalba,N. Jover;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
14;331607;2008;20080619;Convolvulus lanuginosus;;Spain;ALICANTE;Benidorm;;30SYH57;30SYH5370;;38,54682;-0,09122;;GPS;point GPS;30;import BDD internet;G. Mateo Sanz,J. Fabado Alós,O. Mayoral García-Berlanga,V. Deltoro Torró;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
15;332743;2008;20080619;Convolvulus lanuginosus;;Spain;ALICANTE;L'Alfàs del Pi;;30SYH57;30SYH5176;;38,60139;-0,11198;;GPS;point GPS;30;import BDD internet;A. Navarro Peris,L. Serra Laliga;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
16;1062273;2011;20110616;Convolvulus lanuginosus;;Spain;ALICANTE;Onil;;30SYH07;30SYH0179;;38,63763;-0,68404;;GPS;point GPS;30;import BDD internet;M. J. Sanchis Carles;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
17;597240;2009;20090620;Convolvulus lanuginosus;;Spain;ALICANTE;Alcoi;;30SYH18;30SYH1682;;38,66463;-0,51164;;GPS;point GPS;30;import BDD internet;M. J. Sanchis Carles;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
18;590355;2009;20090619;Convolvulus lanuginosus;;Spain;ALICANTE;Alcoi;;30SYH18;30SYH1482;;38,66512;-0,53461;;GPS;point GPS;30;import BDD internet;A. M. Ibars Almonacil,M. J. Sanchis Carles,P. Soriano Guarinós;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
19;735690;2010;20100616;Convolvulus lanuginosus;;Spain;ALICANTE;Alcoleja;;30SYH38;30SYH3383;;38,66751;-0,31725;;GPS;point GPS;30;import BDD internet;A. Sebastián de la Cruz,C. Peña Bretón,J. Pérez Botella;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, Paraje: Barranc de Frainós
20;589835;2009;20090618;Convolvulus lanuginosus;;Spain;ALICANTE;Alcoi;;30SYH18;30SYH1084;;38,68409;-0,57994;;GPS;point GPS;30;import BDD internet;C. Torres Gómez,E. Lluzar Buigues,M. Sánchez;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
21;571640;2008;20080628;Convolvulus lanuginosus;;Spain;VALENCIA;Bocairent;;30SYH08;30SYH0787;;38,71027;-0,6175;;GPS;point GPS;30;import BDD internet;J. E. Oltra Benavent;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
22;601219;2009;20090622;Convolvulus lanuginosus;;Spain;ALICANTE;Alcoi;Parc Natural de la Serra de Mariola;30SYH18;30SYH1287;;38,71095;-0,55104;;GPS;point GPS;30;import BDD internet;A. Dalmau Alcina,B. Mascarós Rosario,I. Balada Mallasen,J. Riera Vicent;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
23;598428;2009;20090621;Convolvulus lanuginosus;;Spain;ALICANTE;Alcoi;Parc Natural de la Serra de Mariola;30SYH18;30SYH1787;;38,71363;-0,50362;;GPS;point GPS;30;import BDD internet;A. Dalmau Alcina,B. Mascarós Rosario,I. Balada Mallasen,J. Riera Vicent;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
24;1050588;2011;20110612;Convolvulus lanuginosus;;Spain;ALICANTE;Alcoi;;30SYH18;30SYH1488;;38,7191;-0,5311;;GPS;point GPS;30;import BDD internet;J. Aragoneses García,M. J. Sanchis Carles;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
25;588956;2009;20090618;Convolvulus lanuginosus;;Spain;ALICANTE;Alcoi;Parc Natural de la Serra de Mariola;30SYH18;30SYH1488;;38,71914;-0,53275;;GPS;point GPS;30;import BDD internet;A. Navarro Peris,J. E. Oltra Benavent,P. Pérez Rovira;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
26;589409;2009;20090618;Convolvulus lanuginosus;;Spain;ALICANTE;Alcoi;;30SYH18;30SYH1388;;38,71938;-0,54424;;GPS;point GPS;30;import BDD internet;A. Navarro Peris,J. E. Oltra Benavent,P. Pérez Rovira;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
27;597480;2009;20090619;Convolvulus lanuginosus;;Spain;VALENCIA;Bocairent;;30SYH18;30SYH1288;;38,71962;-0,55574;;GPS;point GPS;30;import BDD internet;A. Navarro Peris,J. E. Oltra Benavent,J. Pérez Botella,P. Pérez Rovira;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
28;597389;2009;20090619;Convolvulus lanuginosus;;Spain;VALENCIA;Bocairent;;30SYH18;30SYH1188;;38,71986;-0,56723;;GPS;point GPS;30;import BDD internet;A. Navarro Peris,J. E. Oltra Benavent,J. Pérez Botella,P. Pérez Rovira;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
29;599725;2009;20090621;Convolvulus lanuginosus;;Spain;ALICANTE;Alcoi;Parc Natural de la Serra de Mariola;30SYH18;30SYH1889;;38,72574;-0,48424;;GPS;point GPS;30;import BDD internet;A. Dalmau Alcina,B. Mascarós Rosario,I. Balada Mallasen,J. Riera Vicent;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
30;589308;2009;20090619;Convolvulus lanuginosus;;Spain;ALICANTE;Alcoi;;30SYH18;30SYH1489;;38,72815;-0,53244;;GPS;point GPS;30;import BDD internet;S. Fos Martín;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
31;590448;2009;20090618;Convolvulus lanuginosus;;Spain;VALENCIA;Bocairent;;30SYH18;30SYH1389;;38,72839;-0,54394;;GPS;point GPS;30;import BDD internet;A. Navarro Peris,J. E. Oltra Benavent,P. Pérez Rovira;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
32;597523;2009;20090619;Convolvulus lanuginosus;;Spain;VALENCIA;Bocairent;;30SYH18;30SYH1289;;38,72863;-0,55543;;GPS;point GPS;30;import BDD internet;A. Navarro Peris,J. E. Oltra Benavent,J. Pérez Botella,P. Pérez Rovira;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
33;597124;2009;20090619;Convolvulus lanuginosus;;Spain;VALENCIA;Bocairent;;30SYH18;30SYH1189;;38,72887;-0,56692;;GPS;point GPS;30;import BDD internet;A. Navarro Peris,J. E. Oltra Benavent,J. Pérez Botella,P. Pérez Rovira;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
34;703445;2010;20100614;Convolvulus lanuginosus;;Spain;ALICANTE;Villena;Cerro El Rocín;30SXH79;30SXH7893;;38,77466;-0,94616;;GPS;point GPS;30;import BDD internet;A. Navarro Peris,J. E. Oltra Benavent,J. Pérez Botella;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
35;702576;2010;20100622;Convolvulus lanuginosus;;Spain;VALENCIA;Villalonga;;30SYJ30;30SYJ3708;;38,89678;-0,25858;;GPS;point GPS;30;import BDD internet;J. A. Tornero Collados,M. J. Sanchis Carles;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
36;702605;2010;20100622;Convolvulus lanuginosus;;Spain;VALENCIA;Castellonet de la Conquesta;;30SYJ30;30SYJ3709;;38,89826;-0,2617;;GPS;point GPS;30;import BDD internet;J. A. Tornero Collados,M. J. Sanchis Carles;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
37;702564;2010;20100622;Convolvulus lanuginosus;;Spain;VALENCIA;Castellonet de la Conquesta;Camí del Moro;30SYJ30;30SYJ3809;;38,9033;-0,2553;;GPS;point GPS;30;import BDD internet;J. A. Tornero Collados,M. J. Sanchis Carles;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
38;573037;2008;20081107;Convolvulus lanuginosus;;Spain;VALENCIA;Gandia;El Borrell;30SYJ31;30SYJ3619;;38,99029;-0,26951;;GPS;point GPS;30;import BDD internet;A. Navarro Peris,J. E. Oltra Benavent;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, 
39;1560681;2013;20130620;Convolvulus lanuginosus;;Spain;VALENCIA;Millares;;30SXJ94;30SXJ9245;;39,23518;-0,77174;;GPS;point GPS;30;import BDD internet;J. Ranz Ayuso;;biodiversidad_valencia;;;;;libre;;communidad_valenciana;;;;;;;;;;;duplicata point précis Valence, Visto vivo, Semana Biodiversidad Millares
